fresh;fet1;fet2;fet3;fet4;fet5;fet6;fet7;fet8;fet9;fet10;s1;s2;s3;s4;s5;s6;s7;cd1;cd2;cy1;cy2;cy3;dis1;dis2;dis3;dis4;life1;life2;life3;life4;fwl1;fwl2;fwl3;fwl4;fwl5;fwl6;fwl7;fwl8;wnb1;wnb2;wnb3;wnb4;wnb5;egg1;egg2;egg3;egg4;drift1;drift2;drift3;cuv1;cuv2;cuv3;cuv4;cup1;cup2;cup3;cup4;cup5;cup6;cup7;szp1;szp2;szp3;szp4;szp5;szp6;szp7;szp8;szp9;szp10;lsr1;lsr2;lsr3;lsr4;lsr5;lsr6;lsr7;lsr8;res1;res2;res3;res4;res5;ref1;ref2;ref3;ref4;ref5;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;aqs1;aqs2;aqs3;aqs4
Hyphydrus_sp_Lv;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0.25;0.75;0;0.25;0.75;0;0.25;0;0.75;0;0;0.75;0.25;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0.3;0;0.7;0;0.142857143;0;0.428571429;0.428571429;0;0;0;0;0.25;0;0;0.75;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0.375;0.375;0;0.25
Ilybius_sp_Ad;0;0;0;0;0;0;0;1;0;0;0;0;0;0.75;0.25;0;0;0;1;0;0.75;0.25;0;0.25;0;0.75;0;0;0.75;0.25;0;0.4;0.6;0;0;0;0;0;0;0;0;1;0;0.5;0.5;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.142857143;0;0.428571429;0.428571429;0;0;0;0;0.25;0;0;0.75;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0.375;0.375;0;0.25
Ilyocoris_sp;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0.5;0;0.5;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0.2;0;0.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ironoquia_sp;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0.5;0;0.5;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0.1;0.2;0.3;0.1;0.1;0;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ischnura_sp;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0.5;0.5;0.142857143;0.142857143;0.285714286;0.428571429;0;0.666666667;0.333333333;0;0;0;0;0.5;0.5;0;0;0;0;0;0;0;1;0;0.6;0.4;0;1;0;0;0.75;0.25;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0.2;0.2;0;0.6;0;0;0;0;1;0;0;0;0;0.25;0.75;0;0;0;0;0;0;0.5;0.5;0;0;0;0;0;1;0;0;0.4;0.6;0;0
Laccophilus_sp_Ad;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0.75;0.25;0.2;0.2;0;0.6;0;0;0.75;0.25;0.5;0.5;0;0;0;0;0;0;0;0;0;1;0;0.5;0.5;0;0;0.5;0.5;0;0.75;0.25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.142857143;0;0.428571429;0.428571429;0;0;0;0;0.25;0;0;0.75;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0.375;0.375;0;0.25
Leptoceridae_Gen_sp;0;0;0;0;0;0;0;0;0;0;0;0;0.735294118;0.264705882;0;0;0;0.964285714;0.035714286;0;0.931034483;0.068965517;0.22;0.18;0.18;0.42;0.5;0.5;0;0;0.0625;0.78125;0.15625;0;0;0;0;0;0;0;0;0;1;0.125;0.875;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lestes_sp;0;0;0;0;0;0;0;1;0;0;0;0;0;0.25;0.75;0;0;1;0;0;0.75;0.25;0;0.25;0;0.75;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0.666666667;0.333333333;0;1;0;0;0.75;0.25;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0.2;0.8;0;0;0;0;0.333333333;0.666666667;0;0;0;0.75;0;0;0;0.25;0;0;0;0;0;0.5;0.5;0;0.25;0.75;0;0
Libellula_sp;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0.25;0.75;0.75;0.25;0;0;0.25;0;0.75;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0.2;0.4;0.4;1;0;0;0.6;0.4;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0.9;0;0;0;0.285714286;0.571428571;0.142857143;0;0;0;0.25;0.75;0;0;0;0;0;0;0;1;0;0.4;0.6;0;0;0;0;0;0.5;0.5;0;0
Libellulidae_Gen_sp;0;0;0;0;0;0;0;1;0;0;0;0;0;0.52;0.48;0;0;0.397379913;0.602620087;0.428571429;0.285714286;0.285714286;0.133333333;0.166666667;0;0.7;0;0.181818182;0.818181818;0;0;0;0;0;0.409090909;0.590909091;0;0;0;0;0;0;1;0;0.125;0.541666667;0.333333333;1;0;0;0.6;0.3;0.1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0.9;0;0;0;0.291666667;0.625;0.083333333;0;0;0;0.25;0.75;0;0;0;0.222222222;0;0;0.222222222;0.555555556;0;0.6;0.333333333;0;0;0;0.066666667;0;0.47826087;0.52173913;0;0
